Bus Name,Sentence,POS,NEG,NEU
Tuấn Hiệp,xe hơi xuống cấp,0.0011,0.9986,0.0002
Tuấn Hiệp,"Xe đặt trên app biển số này, giường trước dưới, rước xong quăng qua xe khác giường khác trên",0.001,0.9975,0.0014
Tuấn Hiệp,"tạm ổn,rèm cửa ko có,đèn hư.tài xế ok",0.0058,0.9247,0.0695
Tuấn Hiệp,tài xế vs lơ xe vui vẻ nhiệm tình,0.9996,0.0003,1e-04
Tuấn Hiệp,"Đặt xe giường phòng còn 2 tiếng nữa mới tới nơi thì bắt đổi qua xe giường ngồi,dự tính 4g20 tới mà gần 6g mới tới nơi",0.0008,0.9974,0.0018
Tuấn Hiệp,tuyệt vời,0.9997,0.0002,1e-04
Tuấn Hiệp,Tuyệt vời,0.9995,0.0002,0.0003
Tuấn Hiệp,"mua vé ghế dưới nhưng bị xếp lên trên, xe ra vào trả hàng liên tục, hành trình đến trễ 4 giờ so với thời gian dự kiến",0.0005,0.9993,0.0002
Tuấn Hiệp,Quá tệ. Cảm giác như đc đi xe năm 90 mấy. Xe cũ kĩ lấy dây rút buột đủ chỗ. Lơ xe thì như giang hồ. Trạm dừng chân thì cũng như chiếc xe. Dừng đoán khách giữa đường quá nhiều. Tệ hơn còn cho bán hàng rong lên xe bán mọi người đang ngủ xe dừng lại bật đèn lên cho một người bán chả lụa lên bán ko hiểu nhà xe làm ăn kiểu gì. Nhồi nhét khách. Không bao giờ đi lại nhà xe này lần thứ 2.,0.002,0.998,1e-04
Tuấn Hiệp,"Xe chạy êm ok lắm, tuy có hơi lố giờ đến chỗ thả khách",0.9742,0.0032,0.0225
Tuấn Hiệp,"Xe hôi mùi thuốc lá, tài xế hút liên tục. Đặt giường C5 nhưng xe cho người khác nằm. Không bao giờ đi nữa",0.0008,0.999,0.0002
Tuấn Hiệp,"Ồn, xe dừng liên tục vì lấy hàng hay gì đó, rồi tư nhiên dừng tắt máy hẳn một khoảng tài xế đi đâu làm gì không biết, khách nằm trên xe nóng chảy mỡ",0.0013,0.9973,0.0014
Tuấn Hiệp,Lái xe hút thuốc trên xe,0.8916,0.0911,0.0173
Tuấn Hiệp,"Rước khách trễ 1 tiếng rưỡi, k được ngồi đúng ghế đã đặt trước, tài xế nch ùm sùm",0.0043,0.9956,0.0002
Tuấn Hiệp,Khách còn trên xe mà tài xế k đưa về bến mà cứ chạy vòng vòng ghé vệ sinh xe này kia.,0.0033,0.9912,0.0055
Tuấn Hiệp,trải nghiệm khôg ok lắm mà đở hơn mấy nhà xe quê mình,0.002,0.719,0.279
Tuấn Hiệp,"lơ xe thái độ với khách hàng,",0.0012,0.998,0.0007
Tuấn Hiệp,"Lịch trình là 11h30 đến nơi nhưng 13h50 xe mới tới. Xe nhận ký gửi hàng hóa full hết khoang hàng, nên hành lý của khách không có chỗ để phải để ở lối đi trên xe và trên nóc xe",0.4468,0.3416,0.2116
Tuấn Hiệp,"tài xế ăn nói md, đặt 4h30 đi mà 4h mình gọi hỏi thì nói xe chạy mất rồi, nói k còn chuyến nào nữa nên đi xe chiều mà mình đi làm nên k thể đi chuyến chiều được, mình có nói anh quay lại đón được k vì mình đặt 4h30, cũng vừa mới đi qua chỗ mình 1 tí thôi mà nhất quyết k chịu quay lại rồi thái độ chỉ trách mình sao ko chịu đến sớm đi mà 4h mới gọi, trong khi mình đặt thì 4h30",0.0014,0.9985,1e-04
Tuấn Hiệp,Lơ xe hù làm cho khách dực mình=))) Có đón trễ chút nhưng mà đợi 1 chút cũng k sao nên là hoan hỷ cho 4*,0.9995,1e-04,0.0004
Tuấn Hiệp,"Nhân viên hơi cọc tính, hút thuốc trên xe khá là khó chịu",0.0004,0.999,0.0005
Tuấn Hiệp,Tạm đuợc,0.189,0.009,0.8021
Tuấn Hiệp,Ko đặc nữa,0.0227,0.9753,0.002
Tuấn Hiệp,Không đúng vị trí.,0.0015,0.9656,0.0329
Tuấn Hiệp,Không được đúng chỗ ngồi đã đặt. Đặt được ghế A01. Khi lên xe lại xếp vào ghế B03.,0.0005,0.9876,0.0119
Tuấn Hiệp,Dừng nhận hàng liên tục,0.0012,0.9965,0.0023
Tuấn Hiệp,"ok, mọi thứ ok. Chỉ Xin đề nghị 2 điều. 1 chuyến đi ra (từ Cà Mau ra nhà trang) nên sớm hơn 1,2h. 2. Chuyến đi vào (từ Nha Trang đi vào Cà Mau) nên trễ hơn 1, 2h)",0.0335,0.0005,0.966
Tuấn Hiệp,Đặt vé r mà tài xế rước lậu k có ghế ngồi làm ăn thế cx cho làm đc 7h40 mà tận 9h20 mới có xe đặt thì rước k đúng chỗ đúng kiểu làm ăn dối trá quá tệ hại nên có 0 sao để t đánh giá chứ 1 sao còn quá lớn,0.002,0.998,1e-04
Tuấn Hiệp,Xe không được sạch sẽ lắm. Điển hình là chỗ để bình nước uống giường nằm của tôi rất là dơ và giống như chưa bao giờ được lau chùi. Xe hơi củ và bố trí rất nhiều giường nằm. Nhưng vấn đề đay là duy trì vệ sinh cho xe. Phụ xe thiếu tế nhị với khách hàng khi hỏi điểm dừng đi vệ sinh mặc dù đã hơn 4 tiếng chưa cho khách xuống. Nhưng trong thời gian này xe dừng và đón khách liên tục. Tôi đề nghị thứ nhất lau chùi xung quanh giường nằm 2-3 ngày một lần và nếu cần và thứ hai là phải cho khách xuống xe tiểu tiện ít nhứt một lần trong vòng 2-3 tiếng. Xin cảm ơn bác tài và nhân viên đã phục vụ khách hàng tận tâm trong chuyến đi dài vì kẹt xe.,0.0011,0.9984,0.0005
Tuấn Hiệp,"ĐÂY LÀ LẦN ĐẦU TÔI ĐI NHÀ XE TUẤN HIỆP VÀ CŨNG LÀ LẦN CUỐI CÙNG. TÔI RẤT KHÔNG HÀI LÒNG. 1. Nhà xe mất uy tín về thời gian đi và về với tôi. 2. Nhân viên xe nói lớn, chửi tục, làm ồn và nói chuyện cọc cằn. 3. Đưa đón khách liên tục ảnh hưởng đến chuyến đi của tôi và khách hàng trên xe. 4. Delay thời gian 2-3 tiếng hơn đến địa điểm ảnh hưởng đến những dịch vụ khác mà tôi đã đặt. 5. Hẹn giờ rước thay đổi liên tục.",0.0004,0.9994,0.0002
Tuấn Hiệp,"Mọi thứ đều tốt. Chỉ yêu cầu nhà xe ngay khi nhận dc đơn đặt hàng, đã thanh toán tiền, thì nên gọi lạ cho khâch hàng.",0.731,0.021,0.2479
Tuấn Hiệp,"Xe ko có nổi 1 chai nước suối cho khách. Xe quá run , quá đăn, kêu ót ót ét ét cả 8 tiếng , xe gì mà như muốn rớt hết óc bu ri ra ngoài. Nằm 8 tiếng ko ngủ được 1 phút, chuyến xe kinh hoàng @@",0.0035,0.9964,1e-04
Tuấn Hiệp,"Xe rất hôi ,nhân viên hút thuốc mùi khó chịu,tài xế nhân viên nc ồn ào:)",0.0219,0.9779,0.0002
Tuấn Hiệp,Tuyệt vời,0.9995,0.0002,0.0003
Tuấn Hiệp,"Xe chạy dừng lung tung đón trả khách ,lên hàng xuống hàng ,quên lên hàng quay xe đầu lại,ôi lạy cái nhà xe này...lần sau có đi sẽ quên cái nhà xe này nha mn",0.0925,0.9062,0.0014
Tuấn Hiệp,"Tất cả mọi thứ đều ổn, nhân viên ok nhưng riêng TÀI XẾ cần xem xét lại lời nói và thái độ với khách hàng",0.0009,0.0139,0.9851
Tuấn Hiệp,"Giường nằm không thoải mái , tài xế + lơ xe quá ồn ào .",0.0017,0.9981,0.0002
Tuấn Hiệp,"App cần chỉnh lại ghế cho phù hợp với xe thực tế nữa là ok . Xe sạch sẽ , chạy đúng giờ !!",0.9617,0.0053,0.033
Tuấn Hiệp,"Xe chở hàng, kiếm khách dọc đường, dừng liên tục. Xe chật",0.0024,0.9967,0.0009
Tuấn Hiệp,Xe chạy ok tài xế và lơ cáu gắt khó chịu hỏi k tl,0.9974,0.0008,0.0018
Tuấn Hiệp,"Giá trên app là 270k, lên xe thanh toán thì lơ xe đòi 310k. Ghế sắp lộn xộn không đúng ghế đã đặt. Đón trễ gần 1 tiếng rưỡi so với thông báo. Lúc lên xe mình dặn rất kỹ điểm thả nhưng không có ai kêu. Từ lúc đặt xe tới lúc lên xe không hề có 1 ai gọi để xác nhận hay thông báo giờ lên xe, mình phải gọi đi gọi lại để hỏi",0.0003,0.9988,0.0009
Tuấn Hiệp,tôi đã yêu cầu huỷ chuyến xe qua cuộc gọi nhưng không ai giúp đỡ tôi,0.0009,0.999,1e-04
Tuấn Hiệp,Tầm thường,0.0507,0.4368,0.5125
Tuấn Hiệp,Ngồi sai ghế Không đúng giờ như đã báo,0.0004,0.9959,0.0037
Tuấn Hiệp,Xe ko có máy lạnh nên dẫn đến quá nóng.,0.0017,0.968,0.0303
Tuấn Hiệp,-Phụ xe nói chuyện điện thoại mở loa to làm ồn ào và khách ko ngủ được và chửi thề qua điện thoại. -Tài xế khạc nhổ gây mất vệ sinh.,0.0014,0.9985,1e-04
Tuấn Hiệp,"đón trễ so với giờ dự kiến hơn 1 tiếng, và trả khách cũng trễ hơn giờ dự kiến hẳn 4 tiếng. Xe chạy đón thả khách dọc đường + chở hàng nên khá mất tgian dù là chạy đêm. Chuyến về đi đường dài nhưng tài xế ko phát đc 1 chai nước, khách phải tự lo. Lên xuống xe đi vệ sinh cũng ko được trang bị dép thay, khách phải tự thay dép ra vô rất bất tiện.",0.0016,0.9976,0.0009
Tuấn Hiệp,Mọi thứ có vẻ được cải tiến hơn sau nhiều lần bị góp ý. Tuy nhiên tình trạng đón khách quá nhiều lần ở dọc đường tạo cảm giác khó chịu.. nhà xe nên tập trung đón theo điểm cố định Nhân viên: 4/5 Thời gian: khởi hành đúng giờ Nội thất: ghế phòng nhỏ và chật hơn ghế nằm thường dù giá cao hơn Điểm ghé dừng chân: Nam Hữu 2 giá cao,0.0139,0.4108,0.5753
Tuấn Hiệp,Chuyến xe này không được sạch sẽ và có mùi,0.0008,0.9986,0.0006
Tuấn Hiệp,Tài xế nói chuyện với khách rất tệ,0.0042,0.9956,0.0002
Tuấn Hiệp,Xuống ăn thì hối lên xe từ nha trang về tới sóc trăng cho nghĩ 1trạm,0.0105,0.9752,0.0143
Tuấn Hiệp,Đọc đánh giá thấy rơi rén mà trộm vía đi cũng ok,0.9992,0.0005,0.0003
Tuấn Hiệp,Trộm vía nha,0.9982,1e-04,0.0017
Tuấn Hiệp,"Nhà xe thân thiện với khách, rước đúng giờ. ngồi đúng chỗ đã đặt..cho 5 sao",0.9996,0.0002,0.0002
Tuấn Hiệp,"Mình đặt vé là từ Cái Nước (Cà Mau) đi Bà Rịa, mà nhà xe cho một xe đi tuyến khác rước mình lên bến xe Cà Mau. Rồi ngồi đợi tại bến xe hơn 1 tiếng mới lên xe đi Bà Rịa. Sau này, nhà xe phải cập nhật lại tuyến đi và báo trước việc phải sang xe cho khách.",0.004,0.9501,0.0458
Tuấn Hiệp,"Tôi rất hài lòng với chuyến đi này , phục vụ tốt, xe cũng gọi thông báo trước 30p xe gần tới . Đúng giờ nữa .Thấy mn đánh giá tệ quá còn mình đi lần đầu thấy gì cũng oke mà mấy a vui vẻ ạ, mỗi tội cơ sở vật chất xe hơi cũ kỹ nha nên tân trang lại nhé .",0.9946,0.0026,0.0028
Tuấn Hiệp,Giao hàng với trả khách nhiều nên trể so với dự tính,0.0443,0.9354,0.0204
Tuấn Hiệp,Đặt xe chọn điểm đón điểm đi xác nhận tất cả ok thanh toán rồi xong đổi chuyến đi không đúng như đã xác nhận với nhân viên phải điện liên tục để đổi thông tin mà vẫn sai phải kêu đổi thông tin chính xác chuyến đi rất nhìu lần ... còn phía tài xế thì kh gọi điện báo giờ trước đến chỗ thì mới gọi kh thể đi ra xe kịp thời gian mà vị trí nằm thì không đúng như đã đặt phải nằm vị trí sau cùng rất thất vọng chưa bao giờ thấy nhà xe tình trạng như này,0.001,0.999,1e-04
Tuấn Hiệp,Quá thất vọng,0.0016,0.9983,1e-04
Tuấn Hiệp,Tài xế và anh lơ xe thân thiện,0.9995,0.0002,0.0004
Tuấn Hiệp,"Đặt xe xe 17h30 tài xế báo 16h xe tới kêu chuẩn bị , xe chạy Năm Căm tới Sài Gòn 10 tiếng , chạy ghé nhiều chỗ , yêu cầu cần xem xét lại dùm",0.0033,0.9909,0.0058
Tuấn Hiệp,Xe chạy ghé quá lâuuu,0.0017,0.9981,1e-04
Tuấn Hiệp,Lần đầu tiên thấy giường nằm kiểu này,0.6945,0.2985,0.007
Tuấn Hiệp,"Thanh toán rồi mà Xe yêu cầu thanh toán thêm , lý do lấy tiền phòng ngồi !",0.0005,0.9957,0.0038
Tuấn Hiệp,Xe tệ nhồi nhét khách nạt khách 6.6,0.0004,0.9993,0.0003
Tuấn Hiệp,Xe chạy tốt,0.9979,0.0002,0.0019
Tuấn Hiệp,"tài xế và lơ xe khá thân thiện, mình may mắn đi xe không có mùi hôi như một số feedback đã đưa.",0.9903,0.008,0.0017
Tuấn Hiệp,"Mình có ba sự lựa chọn để về được đến nhà mình. Một là đi từ Đà Lạt về SG hoặc Cần Thơ sau đó đặt thêm một xe khác, hoặc là chọn xe Tuấn Hiệp để về thẳng nhà mình là Tp Sóc Trăng. Thì mình đã có những trải nghiệm cực kì tồi tệ đối với nhà xe này. Thứ nhất, thái độ của nhân viên nhà xe vô cùng hằn hộc với khách. Mình đặt vé cho đến ngày về chưa thấy một cuộc gọi nào của nhà xe cho nên mình phải chủ động gọi cho tài xế ( bởi vì số tài xế có hiện trên app ). Vừa gọi xong mình vẫn nch rất đàng hoàng, chưa dứt câu thì tài xế đáp lại mình “ alo anh đang bận chút gọi lại sau “. Mình gọi thẳng lên tổng đài đặt vé thì được đáp lại “ chắc mấy anh đang chạy xe trả hàng nên không nghe máy c được”. Ủa cả nhà xe chỉ có duy nhất 1 tài xế hay sao ạ? Nếu vấn đề đó là do mình nhạy cảm thì đến vấn đề tiếp theo đi. Từ bến xe Đà Lạt xuất phát là 11h hơn ( chưa đến 11h30 ) nhưng tới SG ( chính xác là vừa mới ra khỏi BD để vào SG là 7h tối? Xe dừng liên tục để lên hàng xuống hàng? Chưa kể đến việc dừng rước khách dọc đường làm mình vô cùng khó chịu. Tổng cộng mình di chuyển 14 tiếng từ Đà Lạt về Sóc Trăng thay vì giờ như trên app dự kiến. Cái cuối cùng là xe rất dơ. Nhất mạnh là RẤT DƠ. Bụi do xe lâu ngày không vệ sinh là điều mình khi mình vừa bước lên xe đã nhận ra liền. Tiếp theo là trời mưa xe còn bị chảy cả nước. Nếu nói do xe chuyên để chở hàng không chăm chút đến mấy điều đó thì mình xin nhà xe đừng nhận khách luôn nhé. Cskh vô cùng tệ. Lần đầu bức xúc đến nỗi vừa xuống xe là phải mở điện thoại ra đánh giá liền chứ ko đợi lâu được. Quá sợ !",0.0007,0.999,0.0002
Tuấn Hiệp,"Đặt xe lúc 4h sáng và mãi đến 6h sáng xe mới đến rước Gọi đi gọi lại tài xế cứ hẹn mãi Thà là nói giờ chính xác đến đi cứ hẹn 30phút xe tới hoài Nói chuyện thì khó nghe trong khi đó xe sai với hàng khách chứ có phải hành khách bắt xe phải đợi đâu mà cách nói chuyện như thế Bước lên chiếc xe mà đất cát không cho e hỏi nhà xe k vệ sinh hàng ngày hay sao mà dơ , bẩn đến thế",0.0097,0.9902,1e-04
Tuấn Hiệp,"Xe trễ giờ đón cỡ 30p, lên xe không đc ngồi ghế đã đặt mà phải ngồi theo sắp xếp của lơ xe",0.0013,0.9977,0.001
Tuấn Hiệp,Rất tệ vé xe đặt không đúng chỗ nằm đã đặt trước,0.0044,0.9955,1e-04
Tuấn Hiệp,Tốt,0.9938,0.0005,0.0057
Tuấn Hiệp,"Xe bắt khách dọc đường nhiều nên thời gian đi hơi lâu, gần 6 tiếng từ lúc lên xe mới ghé trạm dừng chân, ai thận yếu mắc vs thì nói bác tài ghé cây xăng hay đâu cho đi nhe chứ đợi tới trạm dừng chân như e có ngày lũ lụt kéo đến ạ hên là e cầm cự nổi ạ hicc",0.0084,0.9907,0.0009
Tuấn Hiệp,"Không hủy vé trong ứng dụng, tài xế và công ty quyết định rằng họ có thể đơn giản bỏ qua sự hiện diện của hành khách và rời đi mà không cần đợi đến giờ khởi hành đã chỉ định. Dịch vụ tồi tệ nhất bao giờ hết. Vào lúc 2 giờ sáng, bạn phát hiện ra rằng xe buýt đã rời đi mà không có bạn.",0.0014,0.9986,1e-04
Tuấn Hiệp,"giá vé rẻ, chỗ nằm thoải mái",0.9987,0.0011,0.0002
Tuấn Hiệp,dịch vụ quá tệ,0.0009,0.9991,1e-04
Tuấn Hiệp,"Nhà xe thiếu nhiệt tình, xe chạy k thoải mái, lơ xe nói chuyện cọc cằn khó chịu",0.001,0.9989,0.0002
Tuấn Hiệp,Xếp chỗ không đúng vị trí so với vị trí trên app.,0.0064,0.8195,0.1741
Tuấn Hiệp,Xếp chưa đúng vị trí đã chọn,0.0003,0.9963,0.0034
Tuấn Hiệp,"Nhân viên không chuyên nghiệp, nói tục lớn tiếng, thái độ phục vụ chưa tốt.",0.0011,0.9988,1e-04
Tuấn Hiệp,"Xe nhét khách, tới không đúng giờ đã hẹn, đồ đạc chất lên xe không có chỗ nằm.",0.0017,0.9956,0.0027
Tuấn Hiệp,Tài xế bóp kèn ỉn ỏi Lơ xe thì bất lịch sự,0.0024,0.9974,0.0002
Tuấn Hiệp,"Dịch vụ quá tệ, bác tài chạy xe ẩu tả, giường thì dơ,",0.0028,0.9971,1e-04
Tuấn Hiệp,Rất tệ,0.0049,0.9951,1e-04
Tuấn Hiệp,"Nhân viên nhà xe nó chuyện to tiếng. Không được nhiệt Tình,xem thường khách hàng. Gọi điện nói chuyện không được lịch sự.",0.0007,0.999,0.0003
Tuấn Hiệp,Nhân viên đến điểm không gọi để huốt điểm trả khách,0.0005,0.9979,0.0016
Tuấn Hiệp,"Chạy từ ĐL về VL gần 14 tiếng thật ko tin được nằm trẹo xương xe bị dột, hôi, xe rất hay dừng dọc đường, tiền nào của nấy bạn nào thích tiện giá rẻ có thể trải nghiệm.",0.0033,0.9827,0.014
Tuấn Hiệp,"Dự tính là 18h15 mà gần 21h mới tới, đi ship đồ giao hàng tùm lum, xe cũ máy lạnh như máy cày",0.0009,0.9989,0.0003
Tuấn Hiệp,Đặt vé đi limosine mà tưởng đi xe dù . Hàng hoá chất không lối đi . Sắp không đúng chỗ nằm . Vali thì nhét dưới hầm chở cua biển nước ra rất hoy và bẩn dính đầy vali. Ko có lần 2,0.0009,0.9988,0.0004
Tuấn Hiệp,Chở hàng hoá nhiều nên không đúng giờ,0.0025,0.9844,0.0131
Tuấn Hiệp,delay 2 tiếng nma dthw,0.9989,0.0009,1e-04
Tuấn Hiệp,"Điểm đón khác với trên app, không đủ mền để đắp, nằm khác vị trí so với lúc đặt vé, dừng xe nhiều lần nhưng lơ xe không hỏi khách có đi vệ sinh không, thời gian đưa đón chênh lệch rất lớn.",0.0004,0.9995,0.0002
Tuấn Hiệp,Trễ hơn dự kiến 5 tiếng,0.2035,0.2802,0.5164
Tuấn Hiệp,"Trễ giờ 1 tiếng, thái độ nhân viên chuyến về rất cọc.",0.003,0.9904,0.0066
Tuấn Hiệp,"Xe đi không đúng với tiến độ thời gian cụ thể 8h50 xuất bến nhưng thực tế đến gần 10h, đón khách tại bến xe nhưng thực tế lại đón tại trạm dừng chân cần thơ, dự kiến 12h đến nhưng 14h chưa đến. nhân viên vui vẻ nhiệt tình. Nếu có thì chấm 1* cho vexere",0.2506,0.6747,0.0747
Tuấn Hiệp,"Mua vé tuyến Đồng Nai-Hậu Giang (Vị Thanh) nhưng tài xế báo xe ko ghé Hậu Giang, chỉ cho dừng ở bến xe mới Cần Thơ rồi tự bắt xe buýt đi mấy chục km về tới Hậu Giang. Như vậy là lừa đảo!",0.001,0.9989,0.0002
Tuấn Hiệp,Xe đón trước 30p h dự kiến . Xe sạch sẽ . Chỗ thoải mái,0.9991,0.0002,0.0007
Tuấn Hiệp,Đón ko đúng giờ quy định,0.0015,0.9625,0.036
Tuấn Hiệp,"Xe đến bến chậm 30 phút, dừng 30 phút thành ra chậm 1 giờ",0.0005,0.9984,0.0011
Tuấn Hiệp,Tài xế dễ thương,0.9994,0.0002,0.0004
Tuấn Hiệp,"Nhà xe ổn, chạy đúng giờ & đúng lịch trình, có gọi thông báo khi thay đổi giờ chạy",0.9993,0.0003,0.0005
Tuấn Hiệp,Xe chạy trễ giờ,0.0004,0.9991,0.0005
Tuấn Hiệp,Tài xế hút thuốc trên xe trong khi luật cấm hút thuốc,0.0647,0.9204,0.0148
Tuấn Hiệp,đừng bao giờ đi nhà xe này nha,0.0017,0.9981,0.0002
Tuấn Hiệp,"Đặt chỗ này lên xe thì nằm chỗ khác, bỏ tiền ra đi mà không tới nơi đàng hoàng, không có lần sau",0.0557,0.9441,1e-04
Tuấn Hiệp,Nếu được nhờ công ty bố trí dép cho khách lên xuống.nhiều người đi mang giày tháo ra vô bất tiện.lắp thêm wifi là ok,0.0347,0.6947,0.2706
Tuấn Hiệp,"Nhà xe quá tệ, đón trễ hơn 2h mà không 1 lời xin lỗi, khiến công việc bị chục trặc, ghế ngồi thì xếp lung tung không theo vị trí chọn trước, thiếu trách nhiệm.",0.0011,0.9988,1e-04
Tuấn Hiệp,"Không ổn tý nào, xe nhồi nhét khách ghê lắm. Nhân viên xe ko thân thiện",0.001,0.9988,0.0002
Tuấn Hiệp,"Lơ xe mất dạy, nằm ở hành lang giả bộ ngủ kéo rèm xàm xỡ khách hàng. 2 vợ chồng đi cùng nhau mà nó còn dám làm vậy, con gái đi 1 mình chắc nó đè ra nó hiếp quá. Lần đầu cũng là lần cuối đi xe này, bài này sẽ xuất hiện trên tất cả các group nhà xe, và tất cả các đánh giá trên các app.",0.003,0.997,1e-04
Tuấn Hiệp,Delay 1 tiếng,0.0612,0.0046,0.9342
Tuấn Hiệp,Nhân và tài xế giao tiếp với hành khách không thân thiện,0.0446,0.9526,0.0028
Tuấn Hiệp,Xe được tốt nhưng mà đem vali lên chỗ nằm hơi cồng cền,0.9367,0.0321,0.0312
Tuấn Hiệp,"Chọn chỗ chỉ mang tính chất vui thôi, chứ chọn chỗ này lên xe lại 1 chỗ khác, chỉ vậy thôi, còn lại dịch vụ vẫn rất ok",0.1056,0.283,0.6114
Tuấn Hiệp,Sắp số ghé không đúng như đã chọn,0.0003,0.9957,0.004
